title,description,tags
Personal Physical Trainer PPT,Personal Physical Trainer is an innovation for physiotherapy. It creates an environment where the patients would be more willing to engage in physiotherapy   as well as it makes sure that patient would do the correct movements. This also allows the therapist to monitor the progress of his/hers patient and whether the patient carries out the necessary exercises.,['monitor']
Safer Travel Utility SaVy,"Sri Lanka has the second highest road density in Asia in 2011 (173.8 km/km2). Although there are so many roads and buses in the road still people don’t like to use public transportation very much. we feel, it’s because public transportation is very unpredictable and sometimes, we have to wait hours and hours in bus stations waiting for a bus. It’s so hard to find the right bus for the right location if you don’t know the right route number. So, we feel this all happens due to the inefficiency and mismanagement of resources. So, our plan is to make a tracker management system for bus owners.",[]
Smart Educational Management System,"Smart Educational Management System (SEMS) is specially designed for schools, colleges and institutes to automate the institutional processes. Use of SEMS makes your institution eco-friendly as all data and your reports are stored on the server, the use of paper and files are necessary only when needed. Attendance of students can be marked by taking the fingerprint using a device with an embedded system. SEMS is very affordable and comes with no limits on the number of students, teachers and parent logins. This system is highly secured and the automation helps in reducing costs and brings a lot of savings for you.","['smart', 'data', 'automation']"
Smart Mirror,This is an automated mirror which will identify a user and the display the to-do list of that relevant user. Further more this mirror can display the weather and the news too....,['automated']
Smart Monitoring and Automated Controlling System for an Aquarium," In almost all the aquariums, the filtering of water is done manually by the operating officers. But by using this system, filtering of the aquarium's water can be done automatically which would increase the efficiency of an aquarium's working routine. Filtering of water can be done by measuring and analyzing the oxygen level of water so that there will be a sufficient amount of oxygen for the survival of aquatic animals and plants. Even though the system will be operated automatically, the user or the owner of the aquarium could check the aquarium's filtering process anytime he/she want as there is a web page connected to this system which is updating automatically when all the filtering activities are happening.",['automatically']
Air Quality Monitoring system,"Monitoring and maintaining air quality and sound quality are most important aspects of city management. A significant proportion of the population lives in cities, where air quality index has exceeded limits for several air pollutants like - particulate matter (PM), ozone, nitrogen dioxide.The Noise pollution can cause hypertension, high stress levels, tinnitus, hearing loss, sleep disturbances, and other harmful effects.These pollution pose serious health and environment risks. Therefore air and sound quality monitoring system is an important component of any smart city.  So in this unified project we develop a system to monitor , forecast and reducing air pollution in a city through actionable data. the data will be received from gas sensors and the sound sensor. we are trying measure the data using this module in urban areas.  All those data taken from those sensors, are sent to a central server and processed there.if the permit levels are exceed Regulatory agencies or pollution control boards will be informed.and also person can see whether the city is suitable for living and what will be the future. they can get the information about Pollution Awareness.","['smart', 'monitor', 'data', 'urban']"
Automated Attendance system, This project aims to automate the attendance procedure of an educational System using biometric technology. This replaces the traditional attendance marking methods to a fool Proof method.This will reduce the time spent in a lecture for attendance marking and increases the accuracy of the process.This will be a hand held device which is passed in the class while the lecture is going on. The students can simply place the finger over the sensor to mark the presence in their class.,"['time', 'sensor']"
Automated Bike Sharing System,"As the most of the universities have wide area of land, transportation within the university causes time waste, accidents, congestion because of using the private vehicles, parking problems and the energy consumption related to the mobility of workers and students of the universities. The bicycle sharing programs have received increasing attention in recent years with initiatives to increase bike usage,better meet the demand of a more mobile public and lessen the environmental impacts of our transportation activities. So the project aims to introduce automated bike sharing system to minimize above impacts while evaluating the mobility patterns of academic campuses and assessing the energy consumption and pollutant emissions produced by the universities.","['time', 'mobile', 'automated']"
Automated Electricity Billing System,    In present world embedded systems have become essential as every electronic and electrical day to day devices use the particular system for it's functionality.     Here our target is to achieve an automated and centralized electricity billing system with more security and efficiency.  Functionalities of the new system          * Accurate meter reading     * Can get update about the connection frequently     * Digital display for customers     * Customer can identify the trend of usage of the electricity,"['electronic', 'electrical', 'automated']"
Automated Fishing Bot," Fishery Industry has not always been friendly to fishermen. Identifying high density fishing areas, reaching there and spending hours to find and capture fish is just too much for a human being. Therefore, we are going to introduce a fishing bot. This bot will be able to handle above said difficulties and will help fishermen to expand fishing areas and monitor fishing information gathered which will eventually help the industry. ","['industry', 'monitor']"
Automated Greenhouse Fertilizing System," This project aims to calculate the component(N , K , P) levels which are responsible for the growth of the plant in a real time basis and maintain the component level which is required for the relevant plant. Using this system we can increase the lifetime of a plant and can get the maximum harvest out of the plant.","['real', 'time']"
Automated Monitoring of Hospital Patients,This study develops a remote monitoring diagnostic framework to detect condition of patients in real-time which helps avoiding potential diseases.This system will be basically used in hospitals and medical centers. The proposed system has an embedded micro controller connected to a set of medical sensors (the sensors would differ according to the condition of the patient) and a wireless communication module (Bluetooth) . ,['medical']
Automatic Speed Trap,"In this project we are expected to track the vehicle speed and if there any vehicle that travelling with more than maximum speed allowed, take a clear photo of the specific vehicle and send that to authorities to take further action.",[]
Bus tracking system,"A lot of people do not like to travel in crowded buses. We would love to travel sitting, sleeping. It will be very useful if there is a system to know whether the next bus on our route is full or not, to know the location of that bus, to know whether there are any alternative buses on route and etc. So we came up with a solution which is an embedded system and huge network of various devices.",['network']
Control System for Heliostat Solar Power Plants,"This is a system which focus sunlight into a one point in a solar tower and heat up the salts in it upto higher temperatures and then use them to store heat energy and produce steam and generate electricity. These systems make it possible to supply power even when the sun is down because of the stored heat energy. In these power plants, array of flat movable mirrors called heliostats are used to focus sunlight into a collector tower to heat salts and generate electricity through steam turbines. This is seen as  a viable solution for renewable energy.",['power']
Networked and Automated Weather Monitoring and Alerting System,In this unified project we develop a system that can be used to collect information from much many places allover Sri Lanka using an embedded system kept in those locations.,[]
Real Time Water Qualtiy Measurement System,The system consists of several sensors located in remote locations to measure the water quality real time.,['real']
River water level and speed monitoring and alert system,This is a system that will monitor the water levels of a river/lake/stream and predicts the occurrence of a flood and generate an alert accordingly. This system would not only measure the water level but also the water velocity in order to give a better prediction of the risky situations.,"['monitor', 'prediction']"
Smart Breathalyzer Test,This project is mainly targeted for the Police Department in Sri Lanka. Our project is to innovate a digital alcohol meter equipment communicating with a secured database-system with a user friendly GUI.,[]
Smart Shopping Cart,Trolleys are used in supermarket by customers in the modern world. but they remain in the same state without many improvements. Our target is to develop a smart trolley which satisfies all needful of customers.  ,['smart']
Smart Warehouse Monitoring for Paddy Storage,"Networked embedded systems have become  quite important nowadays, especially for monitoring and control of distance and dislocated objects. This concept is applied in many fields in today as it increases the accuracy rather than controlling manually.  Therefore we thought to implement a embedded system to monitor and control physical quantities of a rice paddy storage. Controlling such conditions precisely will ensure the best quality. This will helpful to the businessmen who having number of such stores in many locations as it is hard to control them manually. So by using this system they can operate it easily and being in any location.  This system can be used in storage by changing the desired physical quantities.",['monitor']
Smart Waste Disposal Monitoring System,"Waste management is one of the primary problem that the world faces irrespective of the case of developed or developing country. The key issue in the waste management is that the garbage bin at public places gets overflowed well in advance before the commencement of the next cleaning process. Sometime the garbage collector truck not sufficient for collecting all the garbage. These in turn leads to various hazards such as bad odor & ugliness to that place which may be the root cause for spread of various diseases. Another issue is in the waste management is having more trucks and human resources than needed. To avoid all such hazardous scenario and maintain public cleanliness and health this work is mounted on a smart garbage system.  We are living in an age where tasks and systems are fusing together with the power of IOT to have a more efficient system of working and to execute jobs quickly! With all the power at our finger tips this is what we have come up with.       The traditional way of manually monitoring the wastes in waste bins is a cumbersome process and utilizes more human effort, time and cost which can easily be avoided with our present technologies. The main theme of the work is to develop a smart intelligent garbage alert system for a proper garbage management. What our system does is it gives a real time indicator of the garbage level in a trashcan at any given time using weight and volume (solar) sensors. Using that data and as the bins are containing GSM module we can give an alert signal to the municipal web server then optimize waste collection efficient routes, sufficient number of trucks and labors. It allows trash collectors to plan their daily/weekly pick up schedule.","['smart', 'power', 'iot', 'efficient', 'time', 'real', 'data']"
Telepresence Robot,"A telepresence robot is a mobile, remote-controlled device that enables a person to be virtually present and to interact in a remote place. This project will be based upon developing such a robot for the department. With the use of interactive elements such as high definition audio and video, the robot will allow users (students/staff) to collaborate in person and remotely.",['robot']
Train Movement Tracking and Level Crossing Safety Control,Our project is to built a monitoring system for railways. We intend to develop a system which can monitor all the trains from any where.,['monitor']
sleep apnea detection,Non intrusive method for detecting sleep apnea in infants.,[]
Covid Tracer,Fully Autonomous Covid19 Tracking System https://cepdnaclk.github.io/e17-3yp-Covid-Tracer,[]
E Parking System,An autonomous system for assigning and managing parking spots and payments in a car park. https://cepdnaclk.github.io/e17-3yp-E-Parking-System/,[]
Landmine Detector,3rd Year Cyber-Physical Systems Project on detecting land mines.,[]
Milk Testing and Collecting System,cyber physical project to develop milk collecting process.,[]
Remote Gatekeeping System,A system which manages human interactions securely with outsiders.,[]
Secure Food Delivery,"Secure Food Delivery is a system that will help users to get delivered their ordered foods securely. Also, it will privilege for sellers to gain their success by growing the trust in users' minds.",[]
Smart Cradle,An automated cradle which is controlled by a mobile application.,"['automated', 'mobile']"
Smart Locker,,[]
Smart Pet Feeder,Smart Pet Feeder is a product that helps you to take care of your pets. It will help you to build the relationship with your pet better and better even you are not in the home. Have you ever been worried about your pet's meals when you are away from your pet? Smart pet feeder provide the platform to come up with this problem,['smart']
Smart Pour,"'Smart Pour' is an automated coffee machine that can be controlled through a mobile application. This will contain features like coffee scheduling, ingredient tracking and coffee customizing etc.","['automated', 'mobile']"
Wild Life Tracker,Wild life tracking system specially designed for researchers to study behaviors of wild animals remotely. ,[]
maker mate,"3rd year Embedded systems & Software project by @Thilini98, @thanujan96 and @DrMadhushan",[]
remote billiard,Remote-Billiard is a project which provides usual Billiard game experience via online platform.Not all the players could be in the same place to play a billiard game now a days. Project Remote-Billiard solves this problem. Players can play their game physically at their own places individually.,['online']
remote keyboard tutoring system,"The Remote Keyboard Tutoring System is a web-based system that can be attached to any (electronic) keyboard synthesizer through a MIDI connector. Once our system is connected to the keyboard, the user can interactively learn, play or teach in combination with the web application that we provide.",[]
remote medical diagnostics,An online platform combined with a convenient medical diagnostic device where patients can meet doctors and get diagnosed at the comfort of their home.,"['online', 'medical']"
remote proctoring system,A smart proctoring device which can be controlled remotely by an authorized person.,"['smart', 'remotely']"
smart apartment security system,Smart Apartment Security System is a security system which can be used for houses in an apartment.,['smart']
smart garbage collection,"Smart garbage collection system provides a platform to manage garbage collecting in a large area with proper coordination between the responsible authorities and the workers assigned to collect garbage while utilizing the available resources effectively. And also general public who are in need of a proper system to dispose garbage will be benefited by the system. The system can be implemented in cities, and any large public areas and it will make a high positive impact on public health & environment as well. ",['smart']
smart home,,[]
smart shopping cart,"Many people like shopping but the main problem is the time take for the billing. We like to solve this problem. In this case, we like to introduce a device that can do all billing work so that there is no need to wait for billing. they can buy things and pay themselves. developed by @Piriyaraj, @Rilwan292, and @Kavinaya12 https://cepdnaclk.github.io/e17-3yp-smart-shopping-cart/",['time']
agribot,Autonomous Agricultural Robot,['robot']
automated railway ticketing system,"The project is to replace currently available manual methods by an 'Automated Method'. To check the entrance & exit, an automatic gate & a swipe card has introduced. Class will be updated using introduced 'Handheld Device'. In this project we have introduced online banking facilities as well. we hope to develop this project further. To see all the activities, the 'User Portal' has introduced.    ",['online']
automatic fish tank control system,This is a third-year project by a group of students. Here we are developing a fish tank controlling device with a web app.,[]
chessMATE,"The project “chessMATE” provides the grand usual chess board experience through an online platform. Chess is one of the most popular and oldest board games and most chess players are more likely to play chess on a physical chessboard rather than on a mobile or desktop screen. Project chessMATE resolves the main issues faced by the online chess players by providing an electronically powered chessboard and mobile app so that distant players can connect and play on actual chessboards. Game live streaming option and chess tutorials are included in the mobile app. Board vs board, app vs board and app vs app are the available game modes in chessMATE.","['online', 'mobile']"
computerized timetabling and attendance marking system,"This project is about creating a modern attendance marking system that is suitable for today's world. In parallel with the attendance marking system, a fully-fledged timetable managing and lecture reminding system is developed. The system consists of a website, hardware device, and mobile app. The website is for the students, lecturers, and administration. Key features of the website are timetable management, attendance, course registration, and registration.  The hardware device is used to mark the attendance with fingerprint and RFID cards and setting the lecture room. The mobile app is used by the students to see lecture reminding and attendance marking notifications, timetable, and attendance.",['mobile']
digital signage based user targeted advertising,,[]
full body motion tracking system,This is a online multiplayer first person shooter game that combines traditional multiplayer shooter gaming experience with virtual reality to create an ultimate immersive gaming experience.,['online']
gas level indicator and leakage detector,"LP gas tank users face various difficulties because of not having a precise way to find the remaining gas amount in the tank. To overcome those problems with some protection, we are introducing the gas level indicator and leakage detector. Gas Level Indicator and Leakage Detector is a system aimed at LP gas tank users and distributors, consisting of two main areas; a gas level indicator and a gas leakage detector. To indicate gas level, the device display and the mobile/web application will be updated in real-time, displaying the current existing gas percentage in the tank. For gas leakage detection, a buzzer will alarm the user about it while sending a notification to the mobile/web application.",[]
obstacle bots for swarm robots,"Obstacle bots for the existing swarm research project of the  Department of Computer Engineering, University of Peradeniya. Robots are localized with an overhead camera set up in order to create very challenging patterns using movements in a self-created potential surface with collision-avoiding algorithms on optimized stochastic gradient descent and particle repulsion theory.",['computer']
qurantine tracker,"The idea is about to provide a comfortable and easy tracking option for a user to track a person under home quarantine due to the current pandemic situation by tracking their location. The user will be marking a geo fence when they register a new person under quarantine so the user will be notified if the fencing rules are violated. Apart from this the device will be measuring the body temperature of the person, so if he start showing symptoms(fever) of Covid 19, then the user can take necessary actions regarding the person's health. ",[]
smart door lock,"This is a solution which can be used by the advanced security system users at their entrances. This Smart door lock consists of three main security features, RFID sensor, Fingerprint sensor and Face recognition. The collected data is sent to a database and the updated unlocking records will be displayed at the door. In addition, two IR sensors are placed on either side of the door to check the entrance of only one person at a time. All the records of authorized/unauthorized data will be available on the web application and three different admin roles are introduced to manage the web application.","['smart', 'sensor', 'data', 'database', 'ir']"
smart infared shooting sport,"The purpose of this project was to design, build, and test an infrared shooting sport from the ground up to shoot farther in low cost and most importantly make it smart and updatable",['smart']
smart meeting automaton,"Smart Meeting Automaton is a revolutionary idea of controlling devices automatically within a meeting room. In most of our day-to-day life, we have experienced that air conditioners, projectors are working unnecessarily even without a presence of a meeting and sometimes those devices should be controlled with a human involvement using several types of remote controllers which is really an inefficient way. Our approach to that matter is automating this process introducing a control unit per each meeting room and a client application. Client application is basically used for scheduling meetings and meeting room configurations that data related to air conditioners and projectors is set. Control unit in meeting room sends required signals to turn on/off devices according to the schedules added to the system by the client application. In addition to that, mobile application can be used to control devices by scanning a QR code.","['smart', 'automatically', 'data', 'mobile']"
smart payment system,"In a gaming center, they normally use coins to play games. When a customer comes, they have to buy coins from the cashier to use those as a paying method to the gaming machine. So we came up with a simple but efficient solution that will allow you to play any game inside a gaming center with a single tap. It is RFID based payment system.",['efficient']
smart pharmaceutical warehousing,"In this project, we are trying to address this issue by developing a fully automated warehouse management that will minimize the drawbacks while improving efficiency and profitability. We are implementing a warehouse management system which consists two types of robots; robots arms to handle loading/unloading of goods, automated guided vehicles to transport goods inside the warehouse. Also, an online shopping portal to make the purchases from the warehouse.","['automated', 'online']"
smart pill manager,This project is about a device which we called a smart pill manager to help patients to get their medicine according to the given routine. ,['smart']
smart shopping cart with automatic bill system,This project is about smart shopping system.The overall project comprises of a smart shopping cart which is capable of automatic billing.To manage the carts inside the shopping area  we introduce a desktop app for the supermarket management .We also introduced a mobile app and a web app which synchronises with the shopping cart  makes the shopping experience smarter.,"['smart', 'mobile']"
smart vending machine,Smart Vending Machine (3rd-year unified project) This is a 3rd-year project Developed by a group of students to address the problems faced in traditional vending and help consumers have a relatively safer and easier to handle and access. This Smart Vending machine is connected to the cloud to make sure every transaction is Live A web application is devoted to helping the consumers see what they want and can order the items they want to buy The web application is very interactive where the users can sign up and make an interactive accounts where they can do changes and track their buying habits,['smart']
waiterbot system,"The main idea of this project is to develop a system of robots and a smart ordering system for a restaurant.  Current system in restaurants, the traditional menu card ordering and waiters can be replaced with the WaiterBot system. The WaiterBot system contains main 4 parts. The WaiterBots( Main hardware component for delivery of food items), mobile application(to place orders and make payments), web application(for the management of the entire system) and the desktop application(for operation of the robots and handling the orders).","['smart', 'mobile']"
water quality monitoring and usage monitoring system,"In this project, we are developing a water tank monitoring system for providing clean water and reduce the water wastage. Also users will get notifications about related news like water cuts. Mainly our project focused to monitor those factors in very user friendly way. By using a simple mobile app or using a web site it can be done. This will initiate a different way of water monitoring instead of using traditional methods. ","['monitor', 'mobile']"
Accelerating Adaptive Banded Event Alignment Algorithm with OpenCL on FPGA,Effective utilization of OpenCL to map the Adaptive Banded Event Alignment(ABEA) algorithm to run eﬃciently on an FPGA.,[]
Brain Computer Interface for controlling virtual objects,Develop a Brain-Computer Interface for Controlling virtual objects using the self-paced mind intent of a person. Here we have developed a Real-time pipeline for recognizing thought patterns using machine learning techniques and feed into a virtual environment(unity engine) for controlling virtual objects.,['pipeline']
Doppelganger Cartoon,"The objective of Doppelganger Cartoon is to create a machine learning model to find the best matching cartoon character for a human image . This was implemented using three approaches: pre-trained model based approach, combined model (face + hair + gender) and classification model.",['image']
Explainable Machine Learning for Real World Resource Constrained Problems,"Machine Learning (ML) has contributed to many advances in science and technology, recently the applications in high-stake decision-making has been increased. The ability to build statistically complex relationships between data and outcomes, without explicitly programming the rules makes it popular among the computerized decision-making community. The state-of-the-art models which performer well, are more complex and inexplicable. On the contrary, in high-stakes settings as healthcare, finance, and criminal justice, have strict ethical concerns which lead to explain each decision or the model in whole. Moreover, there it is necessary to ensure the fairness of the decisions and the transparency to avoid wrongful rationality. Furthermore the acts like General Data Protection Regulation (GDPR) and Personal Data Protection Act (PDPA) makes it mandatory to explain the decisions made based on statistical relationships and gave a right for users to demand an explanation. ",['data']
Hand Gesture Recognition using sEMG,Recognizing hand gestures that could be useful to interact with machine interfaces using sEMG signals generated by muscle activations from forearm contraction. And try to build a model that could be used in a real-time environment,[]
Identifying keywords in legal articles using ML techniques,"In Sri Lanka, it is vital need to implement a system to extract key information from legal document. This research focused on how to mine basic information from legal documents and how to apply machine learning techniques to extract keywords from documents.",[]
Microservice Based Edge Computing Architecture,,[]
Mixed Reality based Simulation Platform for Swarm Robotics,The main objective of this project is to implement a mixed reality-based simulator application with an efficient and reliable architecture for allowing both physical and virtual robots to collaboratively run swarm intelligence based algorithms in real-time,['efficient']
Optimizing Mitochondria Genome Assembly And Annotation With Skim Sequencing Data,"This assembly is to find an efficient procedure to identify the optimal set of mitochondria genome data from skim sequencing data and assemble, annotate those data to form a complete mitochondria genome.","['efficient', 'data']"
Optimizing chloroplast genome assembly and annotation with skim sequencing data,"Chloroplast genes and genomes are the most important genomic data for plant phylogeny and species identification. Skim sequencing is obtaining low coverage genome sequencing data that includes, nuclear, chloroplast and mitochondria genome sequences. Since the rapid development of high throughput sequencing technologies, it is cheap to get the low coverage data of whole genome (usually about 20-30GB data), which is enough to assemble a complete chloroplast genome. To date, there are many assembly processes/pipelines described to assemble a complete chloroplast genome. However, how much data is needed or actually used in such analysis is not clear. Having such information will help biologists to design their experiments properly and cost-effectively. Biologists expect a simple, fast and user-friendly procedure to assemble and annotate a circular chloroplast genome using Illumina NGS data.   In this project, we will research the existing procedures for chloroplast genome assembly and annotation, and work on developing the methods to identify and select the optimal set(s) of data and the procedure(s) to assemble a given chloroplast genome as accurately and efficiently as possible, by using computational, statistical & heuristical methods. ",['data']
Pipeline for Isolation of Fast evolving ITS Regions from Skim Sequencing Data,"Biologists have been interested in phylogenetic studies over the years. They have used several DNA based methods for phylogeny such as DNA extraction, DNA replication and DNA sequencing. Skim sequencing is the most preferred sequencing method since it results in low coverage data at a low cost.  Biologists have identified a fast-evolving region called Internal Transcribed Spacer (ITS) inside nuclear ribosomal DNA repeats of eukaryotic cells. They prefer to isolate this ITS region from skim sequencing data since it leads to a more accurate species variation analysis. However, because of the huge of data and unclarity on how much data is minimum needed, they find it much difficult to gather ITS regions as efficiently and as accurately as possible.  Therefore, the purpose of this project is come with a simple, efficient, accurate and user-friendly procedure to isolate ITS regions from skim sequencing data to provide a clear pathway for the biologists for phylogenetic studies to solve their problems.","['dna', 'data']"
Real Time Data processing and AI for Distributed IoT,"To facilitate AI,ML computations and to enable real time processing at the edge,a novel approach is proposed base on computation distribution, vectorization, computation offloading, parallelization and federated learning techniques.","['real', 'time', 'processing', 'base']"
Real Time Emotion Recognition using Electrocardiogram Analysis,"Emotion recognition is a powerful and very useful technique in the modern world in almost every field including healthcare, entertainment, automotive industry etc. The main objective of this project is to implement a real time model, which can recognise an extended range of emotions with a higher accuracy using ECG signals to recognize sudden and complex emotional changes of humans. While identifying human emotions, identifying emotions of animal subjects is equally important since it will help to understand their perspectives, needs and problems related to their physical and mental well-being while safeguarding their welfare. Therefore, a preliminary analysis to identify similarities and differences between human and animal emotion recognition is done.","['industry', 'real', 'time']"
Revealing miRNA Biomarkers for Alzheimer s Disease using NGS,"This main aim of this project is to find a set of miRNA biomarkers for Alzheimer's Disease using Next Generation Sequencing Data. A dataset obtained from NCBI database under the access number GSE46579 is used. To achieve the goal of finding the best set of differentially expressed miRNAs, we followed a step wise procedure including five main steps as data collection, preprocessing, statistical analysis, feature selection and classification. Under the data collection stage, initial data set was chosen. We used Galaxy platform for preprocessing. The statistical analysis included significance value (pValue) analysis, fold change analysis followed by the area under receiver operating curve (AUC) analysis. For the features reduced from the statistical methods, feature selection was done under three methods as PCA, Random Forest and correlation coefficient analysis. We used classification algorithms for presenting the possibilty of miRNAs in making better predictions. In this project, we used python programming language for both statistical analysis and machine learning analysis of the data.","['database', 'data', 'python']"
Wireles SDN Ad hoc Network For Vehicular Communication,,[]
anonymous authentication,We propose three authentication protocols that allow a user to anonymously authenticate in a P2P environment. ,[]
cricket analysis,"Data Mining System for Selecting a Winning ODI Cricket Team. This analysis on cricket includes analysis of the individual performance of players, the combined performance of players, frequent winning combinations, and outcome prediction of an ODI match.","['data', 'prediction']"
human behavior prediction using cctv,"In a domestic environment, people's behavior is often routine. They move place to place in a house while activating different domestic appliances and lights. On the other hand, CCTV is becoming a common surveillance system installed in many houses and buildings. A correctly trained adaptive system can predict the behavior and perform control actions automatically. In this research project, it is intended to develop an adaptive training system using CCTV video streams for controlling appliances. ",[]
nearIR spectroscopy," Near-Infrared spectroscopy is used for better vein visualization to make the venipuncture process more efficient. It is usually a painful and time-consuming process and its difficulty increases with the dark skin tones, obesity of patients, and several other health and physical conditions.  Although near-IR spectroscopy is identified as a good solution, its usage is limited to availability, high cost, and doubts about accuracy. The cost of each of these products is very high and not affordable especially in countries like ours. We have implemented a mechanism for better accuracy and lower risk, using an illumination system that favors Asian skin types, while reducing the cost of the device so that it is more affordable especially for common clinical use in countries like ours.",[]
online proctoring system,"Online examinations require human invigilation either by live monitoring or inspection of recorded video to ensure academic integrity. This process is not feasible always since exams can be taken at any time and it involves high cost.  This project proposes an Online Proctoring System to automate invigilation processes by making use of inputs from a web browser, without using any external hardware or standalone application. As a result, several misconducts during the examination can be identified and labelled as suspicious.","['online', 'time']"
sports action recognition,"This includes a novel method to measure the quality of the actions performed in Olympic weightlifting using human action recognition in videos. Human action recognition is a well-studied problem in computer vision and on the other hand action quality assessment is researched and experimented comparatively low. This is due to the lack of datasets that can be used to assess the quality of actions. In this research, we introduce a method to assess player techniques in weightlifting by using skeleton-based human action recognition. Furthermore, we introduce a new video dataset for action recognition in weightlifting which is annotated to frame level. We intended to develop a viable automated scoring system through action recognition that would be beneficial in the sports industry. ","['computer', 'automated']"
CUDA_Fast_ICA,CUDA implementation of Fast-ICA in C++,[]
building a testbed for power analysis attacks,The A to Z of Building a Testbed for Power Analysis Attacks,['power']
HBFT,A new Bredth First Traversal algorithm for large graphs ,[]
Temporal Attention Based MARL,,[]
dark arts algorithms for low light image enhancement and interpretation,Dark arts: Algorithms for enhancement and interpretation of low light images,[]
f5n,Genopo a.k.a. F5N - A nanopore sequencing analysis toolkit for Android smartphones https://nanoporetech.com,[]
f5n_server,This is a job server to distribute and keep track of f5n pipeline jobs to connected f5n clients,['pipeline']
ipb,"Intelligence Preparation of Battlefield or IPB as it is more commonly known is a Command and staff tool that allows systematic, continuous analysis of the enemy and the battlefield environment to be carried out and which presents the results in a graphical form",['graphical']
Agriculture Monitoring and Control System,,[]
Remotely Controlled CNC Robot,"In this project, we developed a CNC (Computer Numerical Control) based pick and place arm, which will help to try different wiring arrangements in a PLC rig and try experiments on it remotely.",[]
Analysis Tool for Industrial Images,An analysis tool for increasing the performance of an injection mold maintenance device which uses image processing techniques to identify stuck plastic particles on molds. ,"['image', 'processing']"
Automated_Computerised_System,,[]
